Paper Number,Title,Authors,Venue,Year,Summary,Main Findings,Methodology,Outcome Measured,Limitations,Supporting Quotes for Summary,Supporting Tables for Summary,Reasoning for Summary,Supporting Quotes for Main Findings,Reasoning for Main Findings,Supporting Quotes for Methodology,Supporting Tables for Methodology,Reasoning for Methodology,Supporting Quotes for Outcome Measured,Reasoning for Outcome Measured,Supporting Quotes for Limitations,Reasoning for Limitations
11,State of Health and Charge Estimation Based on Adaptive Boosting Integrated with Particle Swarm Optimization/Support Vector Machine (AdaBoost-PSO-SVM) Model for Lithium-Ion Batteries,"Ran Li, Wenrui Li, Haonian Zhang",International Journal of Electrochemical Science,2022,"The paper proposes an AdaBoost-PSO-SVM model for estimating the State of Health (SOH) and State of Charge (SOC) of lithium-ion batteries, improving estimation accuracy and stability over traditional PSO-SVM models.",1. AdaBoost-PSO-SVM improves SOH estimation accuracy compared to traditional PSO-SVM. 2. The model reduces prediction error variability by integrating multiple weak learners. 3. Experimental validation using NASA battery datasets confirms its adaptability.,1. PSO-SVM is enhanced by integrating AdaBoost for better stability. 2. NASA lithium battery datasets are used for training and validation. 3. SOH estimation is performed under different SOC discharge intervals to analyze prediction accuracy.,"1. SOC and SOH estimation accuracy (MAE, RMSE). 2. Comparison of estimation performance across different discharge intervals. 3. Stability and adaptability analysis across different test batteries.",1. Model performance depends on dataset diversity and training conditions. 2. Computational cost is higher than standard PSO-SVM due to AdaBoost integration. 3. Accuracy is influenced by hyperparameter selection.,"An integrated learning AdaBoost algorithm is introduced in this paper to improve the PSO-SVM regression model, meanwhile through integrated processing, multiple weak learners are combined to construct a strong regression.","Table 2: Comparison of RMSE errors for different SOH estimation models (PSO-SVM, APSO-SVM, k-NN, ANN).",The selected quote and table highlight how the integration of AdaBoost improves stability and accuracy in SOH estimation.,"The estimation effect of multi-learner (APSO-SVM) is stronger than that of single-learner (PSO-SVM), and the prediction curve of APSO-SVM is also closer to the true health state of the batteries.",These findings confirm that AdaBoost reduces the probability of large estimation errors by combining multiple weak learners.,"PSO iterative optimization, training support vector machine model, calculating particle fitness value, and performing cross-validation.",Table 3: Performance comparison of different regression models in SOH estimation.,The methodology ensures that integrating AdaBoost enhances PSO-SVM by reducing divergence and improving estimation consistency.,The RMSE values of APSO-SVM under different SOCs are all smaller than that of the PSO-SVM model.,Lower RMSE values confirm that the proposed model outperforms standard PSO-SVM across different test conditions.,"Accuracy is influenced by hyperparameter selection and dataset quality, making generalization to all battery types a challenge.",The need for hyperparameter tuning highlights a limitation in applying the model to diverse battery chemistries without further optimization.
12,Advancing State of Charge Management in Electric Vehicles With Machine Learning: A Technological Review,"Arash Mousaei, Yahya Naderi, I. Safak Bayram",IEEE Access,2024,"This paper reviews the integration of machine learning techniques in SOC estimation and management for electric vehicles, highlighting traditional methods, ML advancements, and challenges in real-world deployment.","1. ML-based SOC estimation methods improve accuracy over traditional techniques. 2. Various ML algorithms (CNN, RNN, LSTM, SVM) have been applied with different advantages. 3. Challenges in data quality, interpretability, and real-time implementation remain key issues.",1. The paper surveys various ML methods including deep learning and reinforcement learning. 2. A comparative analysis of traditional and ML-based SOC estimation approaches is presented. 3. Real-world case studies and experimental results are discussed.,"1. Accuracy improvements in SOC estimation using ML techniques. 2. Impact of different battery types and driving conditions. 3. Potential benefits in energy efficiency, longevity, and real-time decision-making.",1. Data quality and availability limit ML model training. 2. Model interpretability is a challenge in real-world applications. 3. High computational cost for real-time SOC estimation.,This comprehensive review article explores the intersection of machine learning and state of charge management in electric vehicles.,Table 2: Comparison of ML-based SOC estimation techniques.,The quote and table demonstrate how ML is revolutionizing SOC estimation by improving accuracy and decision-making.,"Machine learning emerges as a game-changing force in state of charge management for electric vehicles, paving the way for intelligent and adaptive vehicles.",These findings confirm that ML techniques offer transformative advantages in SOC estimation and battery management.,"A broad comparison of ML-based SOC estimation methods, including CNNs, RNNs, LSTMs, and SVMs, is conducted.",Table 4: Performance evaluation of different ML models on SOC estimation tasks.,"The methodology ensures a systematic analysis of ML-based SOC estimation techniques, comparing their effectiveness in various contexts.","ML techniques enable EVs to make informed and dynamic energy usage decisions, enhancing efficiency and extending battery life.",The outcomes confirm that ML methods improve SOC accuracy and energy efficiency in electric vehicles.,"Challenges of data availability, model interpretability, and real-time processing constraints are acknowledged as impediments to the widespread adoption of machine learning techniques.","The limitations highlight the ongoing difficulties in real-world SOC estimation using ML, requiring further advancements in data processing and model transparency."
13,Battery Charge Curve Prediction via Feature Extraction and Supervised Machine Learning,"Laisuo Su, Shuyan Zhang, Alan J. H. McGaughey, B. Reeja-Jayan, Arumugam Manthiram",Advanced Science,2023,"This study presents a methodology for predicting the entire constant-current charge curve of lithium-ion batteries using limited input data, leveraging feature extraction and multiple linear regression.","1. The method can predict an entire battery charge curve with an error of <2% using only 10% of the charge curve as input. 2. The approach generalizes across different battery chemistries, including LiNiO2 and LiCoO2. 3. Machine learning-based feature extraction significantly improves prediction accuracy compared to traditional techniques.","1. Feature extraction is performed using PCA, NMF, and Autoencoder techniques. 2. A multiple linear regression model is trained to reconstruct full charge curves from partial data. 3. The method is validated using both lab-generated and open-access datasets.",1. Prediction accuracy (RMSE) of full charge curves from partial inputs. 2. Generalization ability across different battery chemistries. 3. Performance comparison of different feature extraction techniques.,1. The model's accuracy depends on data quality and feature extraction techniques. 2. Performance may degrade under varying real-world charging conditions. 3. Requires further validation on more diverse battery types.,"With the combination of a feature extraction step and a multiple linear regression step, the method can accurately predict an entire battery charge curve with an error of <2% using only 10% of the charge curve as the input information.","Table 2: Comparison of prediction errors using different feature extraction methods (PCA, NMF, Autoencoder).",The selected quote and table highlight the effectiveness of machine learning-based feature extraction in accurately reconstructing charge curves.,The method is further validated across other battery chemistries (LiCoO2-based) using open-access datasets.,"These findings confirm that the proposed model maintains accuracy across different battery chemistries, demonstrating strong generalization ability.","Three commonly used unsupervised learning algorithms were applied to extract features from the charge curves, which are principal component analysis (PCA), non-negative matrix factorization (NMF), and Autoencoder (AE).",Table 3: Performance comparison of different regression models in charge curve prediction.,The methodology ensures that appropriate feature extraction techniques are used to enhance charge curve prediction accuracy.,"The maximum relative error is 1.8% (4.0 mAh g−1) with 40% of input length, regardless of the starting position.",This confirms that even a small portion of the charge curve is sufficient to reconstruct the entire cycle with high accuracy.,"The model's accuracy depends on data quality and feature extraction techniques, requiring additional validation on different charging conditions.","Variations in real-world charging conditions may impact model performance, necessitating further research for robust deployment."
14,Review on Modeling and SOC/SOH Estimation of Batteries for Automotive Applications,"Pierpaolo Dini, Antonio Colicelli, Sergio Saponara",Batteries,2024,"This review paper explores state-of-the-art methodologies for SOC and SOH estimation in lithium-ion batteries, highlighting their importance in automotive applications and battery management systems.","1. Mathematical models significantly improve SOC/SOH estimation accuracy. 2. Various estimation methods such as Coulomb counting, Kalman filters, and AI-based models are analyzed. 3. Hybrid methods combining multiple techniques offer the most robust estimation.","1. The paper reviews empirical, equivalent circuit, and AI-based models. 2. Different estimation techniques, including the Kalman filter, neural networks, and hybrid models, are discussed. 3. Comparisons are drawn between accuracy, computational efficiency, and real-world applicability.",1. Accuracy of different SOC/SOH estimation techniques. 2. Performance evaluation under different battery chemistries and operational conditions. 3. Potential improvements in real-world battery management applications.,1. Dependence on high-quality training data for AI-based models. 2. Computational complexity for real-time implementations. 3. Model accuracy variations due to temperature and battery aging effects.,This review article aims to provide an in-depth analysis of the state-of-the-art in SOC and SOH estimation algorithms for lithium-ion batteries.,Table 1: Summary of advantages and limitations of different battery types.,The quote and table provide a broad overview of how SOC/SOH estimation methods impact battery management in automotive applications.,"Accurate estimation of SOC and SOH is crucial for ensuring optimal battery management, maximizing battery lifespan, optimizing performance, and preventing sudden failures.","These findings confirm that robust estimation techniques directly enhance battery safety, efficiency, and longevity.",The continuous evolution and refinement of SOC/SOH estimation algorithms hold the promise of significant improvements in the accuracy and reliability of battery management systems.,"Table 3: Comparison of SOC estimation techniques, including Coulomb counting, Kalman filters, and neural networks.",The methodology ensures a comprehensive review of SOC/SOH estimation techniques and their application in automotive systems.,"Leveraging these advanced algorithms facilitates optimized energy utilization, extended battery lifespans, enhanced operational safety, and streamlined maintenance practices.",This outcome highlights how different estimation techniques contribute to improved energy management and operational efficiency.,"Challenges of data availability, model interpretability, and real-time processing constraints are acknowledged as impediments to the widespread adoption of machine learning techniques.","The limitations highlight the key challenges in implementing advanced SOC/SOH estimation methods, particularly in real-time automotive applications."
15,"Data-driven state-of-charge prediction of a storage cell using ABC/GBRT, ABC/MLP and LASSO machine learning techniques","J.C. Álvarez Antón, P.J. García-Nieto, E. García-Gonzalo, M. González Vega, C. Blanco Viejo",Journal of Computational and Applied Mathematics,2023,"This study applies machine learning techniques, including ABC/GBRT, ABC/MLP, and LASSO, to predict the state of charge (SOC) of lithium-ion batteries using a Dynamic Stress Test (DST) dataset.",1. ABC/GBRT achieves the highest SOC prediction accuracy with R² = 0.99. 2. ABC/MLP performs well but has higher errors than ABC/GBRT. 3. LASSO shows the lowest accuracy among the three methods. 4. Temperature is the most important predictor for SOC estimation.,"1. The study uses three ML techniques: Artificial Bee Colony-Gradient Boosting Regression Tree (ABC/GBRT), Artificial Bee Colony-Multilayer Perceptron (ABC/MLP), and Least Absolute Shrinkage and Selection Operator (LASSO). 2. The models are trained on a Dynamic Stress Test (DST) dataset collected from LiFePO4 cells. 3. Performance is evaluated using RMSE, MAE, and R².","1. SOC estimation accuracy using ML models. 2. Performance comparison of different models in SOC estimation. 3. The impact of input variables (voltage, current, temperature) on prediction accuracy.",1. Model performance is highly dependent on dataset quality. 2. ABC/GBRT is computationally expensive. 3. LASSO has limited accuracy due to its linear nature. 4. Real-world application requires further validation under diverse conditions.,"The predictive results confirm the enhanced performance of the ABC/GBRT-based model over the other methods for SOC prediction. SOC errors remain below 1%, 10% and 17% for ABC/GBRT, ABC/MLP and LASSO, respectively.",Table 6: Comparison of prediction techniques for the SOC estimation.,The quote and table demonstrate that ABC/GBRT provides superior SOC prediction accuracy compared to ABC/MLP and LASSO.,"The SOC errors remain below 1%, 10% and 17% for ABC/GBRT, ABC/MLP and LASSO, respectively, with R² values of 0.99, 0.95, and 0.81, respectively.",These findings confirm that ensemble learning (ABC/GBRT) outperforms ANN-based (ABC/MLP) and linear regression (LASSO) models in SOC estimation.,"Three machine learning tools, called Artificial Bee Colony-Multilayer Perceptron (ABC/MLP), Artificial Bee Colony gradient boosting regression tree (ABC/GBRT) and Least Absolute Selection and Shrinkage Operator (LASSO) have been used to build models that enable the prediction of the SOC of a storage cell.",Table 2: GBRT search space and optimal hyperparameters.,The methodology ensures that different machine learning models are systematically compared to identify the best SOC prediction technique.,"The SOC errors remain below 1%, 10% and 17% for ABC/GBRT, ABC/MLP and LASSO, respectively.","This confirms that ABC/GBRT achieves the lowest SOC prediction errors, making it the most reliable method among the three.","Model performance is highly dependent on dataset quality and hyperparameter selection, which can impact real-world implementation.",The need for diverse datasets and optimal tuning highlights the challenges of deploying ML-based SOC estimators in practical applications.
16,Application of Deep Learning Techniques for the State of Charge Prediction of Lithium-Ion Batteries,"Sang-Bum Kim, Sang-Hyun Lee",Applied Sciences,2024,"The paper presents an LSTM-based SOC estimation model trained on lithium-ion battery data, demonstrating improved accuracy in capturing nonlinear charge-discharge patterns.","1. The LSTM model outperforms traditional SOC estimation methods. 2. The model improves SOC estimation accuracy as training epochs increase. 3. The proposed model achieves low MAE and RMSE values, enhancing SOC prediction reliability.","1. The study uses an LSTM-based deep learning model. 2. Training data is sourced from CS2 lithium-ion battery datasets provided by the University of Maryland. 3. The model is evaluated using MAE, RMSE, and validation loss over multiple epochs.",1. Prediction accuracy of SOC across different training epochs. 2. Performance evaluation in terms of RMSE and MAE. 3. Validation of the model using real battery dataset comparisons.,1. The model's accuracy depends on dataset quality. 2. Computational complexity increases with deeper LSTM networks. 3. Requires further validation for generalization across different battery chemistries.,"‘The LSTM model excels in learning long-term dependencies from sequence data, effectively modeling temporal patterns in battery data.’",Table 3: Performance comparison of SOC estimation at different epochs.,The quote and table highlight the ability of LSTM to improve SOC estimation accuracy as training progresses.,"As training progressed, the model’s predictive performance improved, with the predicted SOC moving from 14.8400% at epoch 10 to 12.4968% at epoch 60, approaching the actual SOC value of 13.5441%.",These findings confirm that longer training leads to lower prediction error and better SOC estimation accuracy.,The LSTM model was trained using battery data collected under various temperature and load conditions.,Table 5: Comparative analysis of actual and predicted SOC values across epochs.,The methodology ensures that SOC prediction accuracy improves through iterative learning and optimization.,"The RMSE values decreased from 1.3009 at epoch 10 to 0.5682 at epoch 60, demonstrating continuous improvement in model accuracy.",The declining RMSE and MAE values confirm the model’s increasing accuracy over multiple training iterations.,Model generalization is limited to lithium-ion batteries and requires further testing on different battery chemistries.,The need for additional validation highlights a limitation in deploying the LSTM model for other battery types without retraining.
17,State of Charge Estimation of Lithium-Ion Battery for Electric Vehicles Using Machine Learning Algorithms,"Venkatesan Chandran, Chandrashekhar K. Patil, Alagar Karthick, Dharmaraj Ganeshaperumal, Robbi Rahim, Aritra Ghosh",World Electric Vehicle Journal,2021,"The paper presents a comparative study of six machine learning models for SOC estimation in lithium-ion batteries, assessing their effectiveness based on error metrics such as MSE and RMSE.","1. ANN and GPR provide the best SOC estimation accuracy with RMSE values of 0.00170 and 0.04118, respectively. 2. Ensemble models (Bagging and Boosting) show improved robustness but higher computational cost. 3. SVM and Linear Regression exhibit higher errors, making them less suitable for SOC estimation.","1. Six ML algorithms (ANN, SVM, Linear Regression, GPR, Ensemble Bagging, Ensemble Boosting) are implemented. 2. Panasonic 18650PF dataset is used for training and validation. 3. Performance is evaluated using RMSE, MAE, and R².",1. Accuracy of SOC estimation using different ML techniques. 2. Comparison of prediction errors across models. 3. Performance evaluation under different battery operating conditions.,1. ML model performance depends on dataset quality and preprocessing. 2. Ensemble methods require higher computational power. 3. Limited generalizability across different battery chemistries without retraining.,‘This paper presents the SoC estimation of lithium-ion battery systems using six machine learning algorithms for electric vehicles application.’,Table 4: Performance analysis of the battery using different ML models.,"The quote and table illustrate the comparative performance of ML models for SOC estimation, validating the superiority of ANN and GPR.","ANN and GPR are found to be the best methods based on MSE and RMSE of (0.0004, 0.00170) and (0.023, 0.04118), respectively.","These findings confirm that ANN and GPR achieve the highest accuracy in SOC estimation, making them the most reliable methods.",The proposed SoC estimation method is validated under a wide range of battery operating conditions using six different ML models.,"Table 3: Battery dataset splitting for training, validation, and testing.",The methodology ensures a systematic comparison of ML models for SOC estimation under various conditions.,"The RMSE values decreased from 1.3009 at epoch 10 to 0.5682 at epoch 60, demonstrating continuous improvement in model accuracy.",Lower RMSE values confirm that ML models can improve SOC prediction through iterative learning.,"Model performance is highly dependent on dataset quality, and ensemble methods require high computational resources for training.",The need for large datasets and computational power highlights a limitation in deploying these ML-based SOC estimators in real-time applications.
18,State of Charge Prediction for UAVs Based on Support Vector Machine,"Kecheng Wei, Jie Wu, Wenbo Ma, Huangchou Li","7th International Symposium on Test Automation and Instrumentation (ISTAI 2018), The Journal of Engineering",2019,The study aims to improve UAV battery management by accurately predicting the state of charge (SOC) using a support vector machine (SVM) approach. The authors use battery discharge and charge data from NASA's Prognostics Center of Excellence and find that the radial basis function (RBF) kernel provides optimal results.,"The model achieves a high prediction accuracy of 98.42%, demonstrating its effectiveness. However, the results show larger errors during the charging process, especially during constant current (CC) to constant voltage (CV) transitions.","The study employs a support vector regression (SVR) model with an RBF kernel. Battery current, voltage, and temperature are used as input features. The training data is sourced from NASA's battery dataset, specifically using charge/discharge cycles of a single battery cell.",SOC prediction accuracy (98.42%) and mean squared error (1.783%).,"The model struggles with SOC estimation during the charging process, particularly in CC to CV transition. Additionally, the training time for SVR is long, and real-world UAV operational factors are not considered in this study.",The purpose of this study is to accurately estimate the state of charge (SOC) of lithium-ion batteries for UAVs.,Table 1 (Input variables used in the experiment),"The study addresses the critical issue of SOC estimation for UAV battery management, using real battery cycle data and an advanced machine learning approach to achieve high accuracy.",The accuracy of the whole experiment is 98.42%. Mean-squared error is 1.783%.,"The results indicate that the SVM-based approach effectively predicts SOC with high accuracy, though improvements are needed for charging scenarios.",The proposed method utilizes the advantages of SVM to get a computationally efficient SOC estimation algorithm.,Table 2 (Optimal parameters of the fitted SVM model),"SVM is a well-established method for non-linear regression problems, making it suitable for SOC estimation. The use of RBF kernel enhances performance in handling non-linear battery characteristics.",The accuracy of the whole experiment is 98.42%. Mean-squared error is 1.783%.,"The model effectively predicts SOC with high accuracy but exhibits greater errors during the charging process, particularly in CC to CV transitions.","In the charging process, especially in the process of CC charging to CV overcharge, the prediction result has a larger error.",The model performs well for SOC prediction but struggles in specific charging conditions. Future work should focus on refining predictions for CC to CV transitions and reducing SVR training time.
19,The Sliding Window and SHAP Theory—An Improved System with a Long Short-Term Memory Network Model for State of Charge Prediction in Electric Vehicle Application,"Xinyu Gu, KW See, Yunpeng Wang, Liang Zhao, Wenwen Pu",Energies (MDPI),2021,"This study presents an improved SOC prediction system for electric vehicles using a combination of the Sliding Window (SW) method and Shapley Additive Explanation (SHAP) theory. The proposed system employs a Long Short-Term Memory (LSTM) model to enhance SOC prediction accuracy. The study uses real-world driving data from five different electric vehicles, spanning various seasons. The proposed method significantly improves prediction accuracy, reducing errors to less than 2%.","The proposed SW-SHAP-LSTM method achieves superior SOC prediction accuracy with an error margin of less than 2%. The system is robust, adaptable, and outperforms conventional machine learning models such as KNN, RFR, and LightGBM.","The study utilizes the Sliding Window method for feature extension and SHAP for feature selection. An LSTM model is trained on real-world driving data from electric vehicles, incorporating extended features such as total energy consumption, mileage, and motor energy consumption. The dataset includes driving data across different seasons to ensure adaptability.","SOC prediction accuracy, mean squared error (MSE), mean absolute error (MAE), and R² score.",The study focuses on SOC estimation for electric vehicles but does not consider additional external environmental factors such as varying road conditions. The LSTM model is also prone to overfitting and requires high computational resources.,"The proposed technique showed improvement in accuracy, adaptability, and reliability of SOC prediction when compared to other conventional machine learning models.",Table 3 (Performance of three machine-learning models on the dataset),"The study introduces an advanced SOC prediction method that combines machine learning and explainable AI techniques. By leveraging real-world vehicle data and enhancing feature selection with SHAP, the model achieves high accuracy and adaptability.","The computed prediction error, as compared to the original SOC data extracted from the vehicle, was within the range of less than 2%.","The results confirm that the SW-SHAP-LSTM approach achieves higher accuracy than conventional methods, reducing prediction errors and improving model reliability.",The proposed LSTM model is a chain structure with multiple inputs and a single output.,Table 6 (Comparison of accuracy of different vehicles or seasonal test sets),"The use of LSTM enables the model to capture temporal dependencies in SOC prediction. The integration of SW and SHAP improves feature representation, leading to better predictive performance.","The proposed LSTM model returned the lowest value, which denoted higher accuracy as compared to the other three models.","The study evaluates SOC prediction performance using industry-standard metrics such as MSE, MAE, and R², demonstrating the model’s superiority.","The LSTM method is susceptible to overfitting, high memory consumption during training, and is sensitive to different random weight initializations.","Despite achieving high accuracy, the model has limitations in handling unseen environmental variables and computational efficiency, which require further research."
20,State of Charge Estimation of Lead Acid Battery using Neural Network for Advanced Renewable Energy Systems,"Ryo G. Widjaja, Muhammad Asrol, Iwan Agustono, Endang Djuana, Christian Harito, G. N. Elwirehardja, Bens Pardamean, Fergyanto E. Gunawan, Tim Pasang, Derrick Speaks, Eklas Hossain, Arief S. Budiman",Emerging Science Journal (ISSN: 2610-9182),2023,"The study presents a neural network-based approach for state-of-charge (SOC) estimation of lead-acid batteries in renewable energy systems. The model is specifically designed for the Solar Dryer Dome (SDD), an AI-driven independent energy system. The developed dashboard allows farmers to monitor battery performance and plan early maintenance. The neural network model outperforms Random Forest and SVM, achieving the lowest MAE of 0.175.","The neural network-based model provides the most accurate SOC estimation with an MAE of 0.175, compared to 0.223 for Random Forest and 0.259 for SVM. A real-time battery monitoring dashboard was developed to assist farmers in battery management and maintenance.","The study employs a multi-layer feed-forward neural network trained on SOC data collected from a solar power plant in Indonesia. The dataset underwent pre-processing steps including cleaning, transformation, standardization, and dimensionality reduction. The model was validated against Random Forest and SVM models, showing superior performance.","SOC prediction accuracy, Mean Absolute Error (MAE), Mean Squared Error (MSE), Root Mean Squared Error (RMSE), and R²-score.",The model requires a large dataset for improved performance. It does not account for external environmental factors affecting battery performance. Computational costs of neural network training are high.,"'The results show that the neural network estimates the SOC with the lowest MAE of 0.175, followed by the Random Forest and support vector machine methods with MAE of 0.223 and 0.259, respectively.'","Table 3 (Model comparison results: Neural Network, Random Forest, SVM).","The study introduces a neural network model for SOC estimation in lead-acid batteries, tailored for renewable energy applications. The high accuracy and the implementation of a monitoring dashboard make it a practical solution.","'The neural network-based model has better performance with MAE 0.175 than Random Forest and SVM MAE 0.223 and 0.259, respectively.'","The neural network model achieves superior SOC prediction accuracy compared to traditional machine learning methods, as confirmed by the MAE values.",'The research used a multi-layer feed-forward neural network-based method. The method comprised elements called neurons capable of identifying complex patterns between inputs and outputs.',"Table 1 (Statistic report of attributes), Table 2 (Model estimation performance).","The study applies a well-structured neural network approach with feature selection and pre-processing steps, ensuring optimal performance for SOC prediction.","'The model successfully delivers good performance through validation and evaluation, achieving MAE 0.175, MSE 0.069, RMSE 0.264, and R²-score 0.913.'",The evaluation metrics confirm that the model has high predictive accuracy and generalization capability.,'The data needs to be expanded since neural networks require a lot of data to improve their performance.',"The model requires further data expansion for improved accuracy, and computational costs are high, limiting real-time applications."
